ROC-AUC scores:	[0.5635768026743279, 0.5610956006691848, 0.5365392142879601]	 ; [0.5635768026743279, 0.5610956006691848, 0.5365392142879601]
ROC-AUC scores:	[0.5971447905207932, 0.6146919728500091, 0.5570216104090653]	 ; [0.5971447905207932, 0.6146919728500091, 0.5570216104090653]
ROC-AUC scores:	[0.6284565339577202, 0.6391856626969159, 0.5939472385520472]	 ; [0.6284565339577202, 0.6391856626969159, 0.5939472385520472]
ROC-AUC scores:	[0.6547357634034482, 0.6711424869203961, 0.611134896438382]	 ; [0.6547357634034482, 0.6711424869203961, 0.611134896438382]
ROC-AUC scores:	[0.6621574892986002, 0.6779299846419554, 0.6236293693515527]	 ; [0.6621574892986002, 0.6779299846419554, 0.6236293693515527]
ROC-AUC scores:	[0.6924408361515693, 0.717125031807936, 0.6363717346684628]	 ; [0.6924408361515693, 0.717125031807936, 0.6363717346684628]
ROC-AUC scores:	[0.7060883446731425, 0.7339719584845527, 0.6440655104831627]	 ; [0.7060883446731425, 0.7339719584845527, 0.6440655104831627]
ROC-AUC scores:	[0.7124251245901602, 0.7326391834068149, 0.6471433064453087]	 ; [0.7124251245901602, 0.7339719584845527, 0.6471433064453087]
ROC-AUC scores:	[0.7320838719217356, 0.7500433129341445, 0.6592656424129048]	 ; [0.7320838719217356, 0.7500433129341445, 0.6592656424129048]
ROC-AUC scores:	[0.7354847628880508, 0.7553317770755468, 0.6583871002928776]	 ; [0.7354847628880508, 0.7553317770755468, 0.6592656424129048]
ROC-AUC scores:	[0.726341433779322, 0.7534298429725665, 0.6368684995609563]	 ; [0.7354847628880508, 0.7553317770755468, 0.6592656424129048]
ROC-AUC scores:	[0.7365837517542729, 0.7506564616581274, 0.6583094062981455]	 ; [0.7365837517542729, 0.7553317770755468, 0.6592656424129048]
ROC-AUC scores:	[0.7303358078787826, 0.742829002340703, 0.649732119645347]	 ; [0.7365837517542729, 0.7553317770755468, 0.6592656424129048]
ROC-AUC scores:	[0.7325129595545741, 0.7470093772502422, 0.6559100932809027]	 ; [0.7365837517542729, 0.7553317770755468, 0.6592656424129048]
ROC-AUC scores:	[0.733597931416912, 0.7486507569837595, 0.6577635308212392]	 ; [0.7365837517542729, 0.7553317770755468, 0.6592656424129048]
ROC-AUC scores:	[0.7142990874532559, 0.7330887806867626, 0.6610649076175691]	 ; [0.7365837517542729, 0.7553317770755468, 0.6610649076175691]
ROC-AUC scores:	[0.7313515954762012, 0.7404533330205176, 0.6673232266387303]	 ; [0.7365837517542729, 0.7553317770755468, 0.6673232266387303]
ROC-AUC scores:	[0.7371435143385192, 0.7383319016002325, 0.6712029982238268]	 ; [0.7371435143385192, 0.7553317770755468, 0.6712029982238268]
ROC-AUC scores:	[0.7219968737355191, 0.740892327655128, 0.6561405231075212]	 ; [0.7371435143385192, 0.7553317770755468, 0.6712029982238268]
ROC-AUC scores:	[0.7472329961129933, 0.7450805981516204, 0.6715656865899841]	 ; [0.7472329961129933, 0.7553317770755468, 0.6715656865899841]
ROC-AUC scores:	[0.73648020522845, 0.7397763428363113, 0.6537967705245664]	 ; [0.7472329961129933, 0.7553317770755468, 0.6715656865899841]
ROC-AUC scores:	[0.7380762361101325, 0.7496841765218631, 0.6842525074582908]	 ; [0.7472329961129933, 0.7553317770755468, 0.6842525074582908]
ROC-AUC scores:	[0.7358293140596696, 0.7510275542449382, 0.677025808388991]	 ; [0.7472329961129933, 0.7553317770755468, 0.6842525074582908]
ROC-AUC scores:	[0.7178471798473244, 0.7188288994724845, 0.6609562277656289]	 ; [0.7472329961129933, 0.7553317770755468, 0.6842525074582908]
ROC-AUC scores:	[0.7328385006615897, 0.7477716397735455, 0.6606242643604361]	 ; [0.7472329961129933, 0.7553317770755468, 0.6842525074582908]
ROC-AUC scores:	[0.726812307946827, 0.7543635525268586, 0.6791612354311083]	 ; [0.7472329961129933, 0.7553317770755468, 0.6842525074582908]
ROC-AUC scores:	[0.7424520887168293, 0.7615672604749624, 0.6738649853924761]	 ; [0.7472329961129933, 0.7615672604749624, 0.6842525074582908]
ROC-AUC scores:	[0.725917313322999, 0.7463271985374668, 0.6673863384185783]	 ; [0.7472329961129933, 0.7615672604749624, 0.6842525074582908]
ROC-AUC scores:	[0.7461037276367206, 0.7645612670477001, 0.6699463527087257]	 ; [0.7472329961129933, 0.7645612670477001, 0.6842525074582908]
ROC-AUC scores:	[0.7363002406023885, 0.7664979417332753, 0.6590056864397164]	 ; [0.7472329961129933, 0.7664979417332753, 0.6842525074582908]
ROC-AUC scores:	[0.719033188763024, 0.7635199519226431, 0.6651895523934706]	 ; [0.7472329961129933, 0.7664979417332753, 0.6842525074582908]
ROC-AUC scores:	[0.7010017648760251, 0.7329958383489109, 0.652582722944266]	 ; [0.7472329961129933, 0.7664979417332753, 0.6842525074582908]
ROC-AUC scores:	[0.7208416179800065, 0.75952839433539, 0.6499934609816548]	 ; [0.7472329961129933, 0.7664979417332753, 0.6842525074582908]
ROC-AUC scores:	[0.7340638648989123, 0.7551204009333938, 0.6739267969436006]	 ; [0.7472329961129933, 0.7664979417332753, 0.6842525074582908]
ROC-AUC scores:	[0.7345511125680515, 0.760964714396317, 0.6755284433124447]	 ; [0.7472329961129933, 0.7664979417332753, 0.6842525074582908]
ROC-AUC scores:	[0.7332056896332353, 0.7590027738324908, 0.6880975495355952]	 ; [0.7472329961129933, 0.7664979417332753, 0.6880975495355952]
ROC-AUC scores:	[0.7276850550267635, 0.7596186296148578, 0.6953706028519234]	 ; [0.7472329961129933, 0.7664979417332753, 0.6953706028519234]
