ROC-AUC scores:	[0.49744994759856886, 0.4811945741722201, 0.49021135067286625, 0.4918671791042058, 0.4864354305504539, 0.493799729181067]	 ; [0.49744994759856886, 0.4811945741722201, 0.49021135067286625, 0.4918671791042058, 0.4864354305504539, 0.493799729181067]
ROC-AUC scores:	[0.5, 0.5, 0.5, 0.5, 0.5, 0.5]	 ; [0.5, 0.5, 0.5, 0.5, 0.5, 0.5]
ROC-AUC scores:	[0.5005336179295624, 0.500386398763524, 0.5005112474437627, 0.4993412384716733, 0.4996124031007752, 0.5005549389567148]	 ; [0.5005336179295624, 0.500386398763524, 0.5005112474437627, 0.5, 0.5, 0.5005549389567148]
ROC-AUC scores:	[0.5023585702223473, 0.5170015455950541, 0.501365115910751, 0.5037857940657525, 0.4879352205638258, 0.5052883101892336]	 ; [0.5023585702223473, 0.5170015455950541, 0.501365115910751, 0.5037857940657525, 0.5, 0.5052883101892336]
ROC-AUC scores:	[0.5193490839285594, 0.5710374140595854, 0.5242659657920745, 0.5324101164431684, 0.4832364341085272, 0.5239013914834925]	 ; [0.5193490839285594, 0.5710374140595854, 0.5242659657920745, 0.5324101164431684, 0.5, 0.5239013914834925]
ROC-AUC scores:	[0.5405614180911424, 0.614610117017369, 0.536206892476143, 0.5552388238222741, 0.4689479199890646, 0.5661194720393875]	 ; [0.5405614180911424, 0.614610117017369, 0.536206892476143, 0.5552388238222741, 0.5, 0.5661194720393875]
ROC-AUC scores:	[0.5592002055609651, 0.608582703710314, 0.5424838072847666, 0.5635031353198796, 0.47761627906976745, 0.5741568525694]	 ; [0.5592002055609651, 0.614610117017369, 0.5424838072847666, 0.5635031353198796, 0.5, 0.5741568525694]
ROC-AUC scores:	[0.5485840636157091, 0.6065469195903979, 0.5372379126387312, 0.5483215864293394, 0.4840675342393871, 0.5683258550552578]	 ; [0.5592002055609651, 0.614610117017369, 0.5424838072847666, 0.5635031353198796, 0.5, 0.5741568525694]
ROC-AUC scores:	[0.5534188034188033, 0.6127144881146035, 0.5479631424650846, 0.5642338026629752, 0.49990310077519384, 0.5747946507809485]	 ; [0.5592002055609651, 0.614610117017369, 0.5479631424650846, 0.5642338026629752, 0.5, 0.5747946507809485]
ROC-AUC scores:	[0.5422729153524213, 0.5856050270241905, 0.5447278461887135, 0.5415384054935247, 0.49146970949495217, 0.5480718954248366]	 ; [0.5592002055609651, 0.614610117017369, 0.5479631424650846, 0.5642338026629752, 0.5, 0.5747946507809485]
ROC-AUC scores:	[0.5365944272445821, 0.5952006608751267, 0.5581598473906785, 0.5552226720647774, 0.5311046511627907, 0.5488562091503268]	 ; [0.5592002055609651, 0.614610117017369, 0.5581598473906785, 0.5642338026629752, 0.5311046511627907, 0.5747946507809485]
ROC-AUC scores:	[0.5440759384568176, 0.6146297948260481, 0.5631347887992406, 0.565576923076923, 0.530717054263566, 0.5628356360295957]	 ; [0.5592002055609651, 0.6146297948260481, 0.5631347887992406, 0.565576923076923, 0.5311046511627907, 0.5747946507809485]
ROC-AUC scores:	[0.5562904024473794, 0.6464028965734375, 0.5751462735741877, 0.5757591093117408, 0.5328488372093023, 0.5900653594771241]	 ; [0.5592002055609651, 0.6464028965734375, 0.5751462735741877, 0.5757591093117408, 0.5328488372093023, 0.5900653594771241]
ROC-AUC scores:	[0.5932462403981391, 0.6553431809833656, 0.6070069302431267, 0.6057591093117408, 0.5815891472868218, 0.6299673202614379]	 ; [0.6084756126452783, 0.6987065120428189, 0.6219609179731879, 0.6121355203294667, 0.5815891472868218, 0.657796759606823]
ROC-AUC scores:	[0.5942358570222348, 0.6537073393221885, 0.5977511500205, 0.6072233049792657, 0.5858919865389998, 0.6370261437908497]	 ; [0.6084756126452783, 0.6987065120428189, 0.6219609179731879, 0.6121355203294667, 0.5858919865389998, 0.657796759606823]
ROC-AUC scores:	[0.6029833387428324, 0.6635599317806321, 0.6048483299250169, 0.6040357491970395, 0.5835096238340417, 0.6375725291043133]	 ; [0.6084756126452783, 0.6987065120428189, 0.6219609179731879, 0.6121355203294667, 0.5858919865389998, 0.657796759606823]
ROC-AUC scores:	[0.5967157113815178, 0.6561565304087738, 0.5997326500268295, 0.5995851294521644, 0.5740029551712242, 0.6422875816993464]	 ; [0.6084756126452783, 0.6987065120428189, 0.6219609179731879, 0.6121355203294667, 0.5858919865389998, 0.657796759606823]
ROC-AUC scores:	[0.6038615254714326, 0.6491905861363279, 0.6053382753919564, 0.607007765493039, 0.5724806201550388, 0.6379436772177314]	 ; [0.6084756126452783, 0.6987065120428189, 0.6219609179731879, 0.6121355203294667, 0.5858919865389998, 0.657796759606823]
ROC-AUC scores:	[0.6114492048036352, 0.6820204658103715, 0.624336648220858, 0.6170981738811758, 0.5720078891355148, 0.6559367565834948]	 ; [0.6114492048036352, 0.6987065120428189, 0.624336648220858, 0.6170981738811758, 0.5858919865389998, 0.657796759606823]
ROC-AUC scores:	[0.6050302233072579, 0.6782081028020702, 0.6260093044420061, 0.6201522907420274, 0.5545542635658914, 0.6485186727691782]	 ; [0.6114492048036352, 0.6987065120428189, 0.6260093044420061, 0.6201522907420274, 0.5858919865389998, 0.657796759606823]
ROC-AUC scores:	[0.6006437303905658, 0.6708013564162055, 0.6201502927612218, 0.6212815154525096, 0.5825820645841606, 0.6463432214773895]	 ; [0.6114492048036352, 0.6987065120428189, 0.6260093044420061, 0.6212815154525096, 0.5858919865389998, 0.657796759606823]
